,rewards,balloon_number_session,run_num,pop_range_0,pop_range_1,balloon_number,press_time_error,press_time_time,balloon_in_bag,trkp_press_time,key_pressed,log_time,reward_appear_time_time,reward_appear_time_error,rt,grand_total,bag_ID_number,eeg_pulse_time,trial,set_number,pop_status,total,block,balloon_size,log_num,trkp_press_time_error,trkp_press_time_time
86,0.19,16.0,0.0,0.0,16.0,1.0,0.000671860913485034,1039.7463258212356,1.0,,4,1040.2963258212355,1039.4949268267276,0.0,0.2513989945080084,9.340000000000005,0.0,,1.0,0.0,not_popped,0.24,0.0,110.0,0.0,,
87,0.12,16.0,0.0,0.0,16.0,1.0,0.000493575347377373,1041.9871688418339,1.0,,4,1042.5371688418338,1041.7122565162197,0.0,0.27491232561419565,9.340000000000005,0.0,,2.0,0.0,not_popped,0.36,0.0,115.0,0.0,,
88,0.23,16.0,0.0,0.0,16.0,1.0,0.0004651771025692142,1043.965718192996,1.0,,4,1044.515718192996,1043.7041567826923,0.0,0.2615614103037842,9.340000000000005,0.0,,3.0,0.0,not_popped,0.59,0.0,120.0,0.0,,
89,0.11,16.0,0.0,0.0,16.0,1.0,0.0004977311880338675,1046.4062540692607,1.0,,4,1046.9562540692607,1045.9796308394411,0.0,0.4266232298195973,9.340000000000005,0.0,,4.0,0.0,not_popped,0.7,0.0,125.0,0.0,,
90,0.18,16.0,0.0,0.0,16.0,1.0,0.0004944065154859345,1048.82919231513,1.0,,4,1049.37919231513,1048.3469345687818,0.0,0.48225774634829577,9.330000000000005,0.0,,5.0,0.0,not_popped,0.8799999999999999,0.0,130.0,0.0,,
91,0.06,16.0,0.0,0.0,16.0,1.0,0.0004981467720881483,1051.4395621627882,1.0,,1,1051.9395621627882,1050.8055648369332,0.0,0.6339973258550344,10.200000000000006,0.0,,6.0,0.0,not_popped,0.8799999999999999,0.0,130.0,0.0,,
92,0.15,17.0,0.0,0.0,8.0,6.0,0.0005182333354696311,1054.5982644378062,0.0,,4,1055.1482644378061,1054.0228737472219,0.0,0.5753906905842996,10.190000000000007,1.0,,0.0,0.0,not_popped,0.15,0.0,105.0,0.0,,
93,0.12,17.0,0.0,0.0,8.0,6.0,0.0005107528222652036,1056.725147795548,0.0,,4,1057.275147795548,1056.398342872373,0.0,0.326804923175132,10.190000000000007,1.0,,1.0,0.0,not_popped,0.27,0.0,110.0,0.0,,
94,0.09,17.0,0.0,0.0,8.0,6.0,0.0004899736187553572,1059.1070662313564,0.0,,1,1059.6070662313564,1058.5737803023126,0.0,0.5332859290438137,10.450000000000006,1.0,,2.0,0.0,not_popped,0.27,0.0,110.0,0.0,,
95,0.2,0.0,2.0,0.0,8.0,9.0,0.0005869432351346404,1963.214124289559,3.0,,4,1963.764124289559,1962.9291434701493,0.0,0.28498081940983866,1.0,1.0,,0.0,0.0,not_popped,0.2,0.0,105.0,0.0,,
96,0.08,0.0,2.0,0.0,8.0,9.0,0.0005043805331297335,1965.6869697493585,3.0,,4,1966.2369697493584,1965.0462007581361,0.0,0.6407689912223304,0.99,1.0,,1.0,0.0,not_popped,0.28,0.0,110.0,0.0,,
97,0.12,0.0,2.0,0.0,8.0,9.0,0.0005115839903737651,1968.0539326997616,3.0,,4,1968.6039326997616,1967.4383228910908,0.0,0.6156098086707971,0.98,1.0,,2.0,0.0,not_popped,0.4,0.0,115.0,0.0,,
98,0.08,0.0,2.0,0.0,8.0,9.0,0.0004953762116883809,1970.6134743991902,3.0,,1,1971.1134743991902,1970.0138583434598,0.0,0.5996160557303938,1.37,1.0,,3.0,0.0,not_popped,0.4,0.0,115.0,0.0,,
99,0.07,1.0,2.0,0.0,8.0,11.0,0.000516709527232706,1974.3519373698182,5.0,,4,1976.1019373698182,1973.3645229177991,0.0,0.9874144520190384,1.35,1.0,,0.0,0.0,popped,0.0,0.0,100.0,0.0,,
100,0.24,2.0,2.0,0.0,16.0,17.0,0.0005424757396212954,1978.5837318784565,5.0,,4,1979.1337318784565,1978.3155141966288,0.0,0.26821768182776395,1.35,2.0,,0.0,0.0,not_popped,0.24,0.0,105.0,0.0,,
101,0.25,2.0,2.0,0.0,16.0,17.0,0.0045028534002540255,1980.895629246923,5.0,,4,1981.4456292469229,1980.499294615305,0.0,0.3963346316179468,1.35,2.0,,1.0,0.0,not_popped,0.49,0.0,110.0,0.0,,
102,0.14,2.0,2.0,0.0,16.0,17.0,0.0005154627749561769,1983.155841117223,5.0,,4,1983.705841117223,1982.7914033941581,0.0,0.3644377230648388,1.35,2.0,,2.0,0.0,not_popped,0.63,0.0,115.0,0.0,,
103,0.12,2.0,2.0,0.0,16.0,17.0,0.006872652296351589,1985.269884173949,5.0,,4,1985.819884173949,1984.8167966890694,0.0,0.4530874848796884,1.34,2.0,,3.0,0.0,not_popped,0.75,0.0,120.0,0.0,,
104,0.08,2.0,2.0,0.0,16.0,17.0,0.0015548385345027782,1987.8033400768775,5.0,,1,1988.3033400768775,1987.1839555180975,0.0,0.6193845587799842,2.08,2.0,,4.0,0.0,not_popped,0.75,0.0,120.0,0.0,,
105,0.16,3.0,2.0,0.0,16.0,12.0,0.000503549365021172,1990.7086532638034,0.0,,4,1991.2586532638034,1990.4095741703973,0.0,0.29907909340613514,2.08,2.0,,0.0,0.0,not_popped,0.16,0.0,105.0,0.0,,
106,0.16,3.0,2.0,0.0,16.0,12.0,0.0004928827071353226,1992.8479876588153,0.0,,4,1993.3979876588153,1992.593341013327,0.0,0.25464664548826477,2.08,2.0,,1.0,0.0,not_popped,0.32,0.0,110.0,0.0,,
107,0.08,3.0,2.0,0.0,16.0,12.0,0.0069511976855665125,1995.1460787703588,0.0,,4,1995.6960787703588,1994.7021456328487,0.0,0.4439331375101574,2.0700000000000003,2.0,,2.0,0.0,not_popped,0.4,0.0,115.0,0.0,,
108,0.1,3.0,2.0,0.0,16.0,12.0,0.002899253001487523,1997.160869684472,0.0,,4,1997.7108696844718,1996.827538706115,0.0,0.33333097835679837,2.0700000000000003,2.0,,3.0,0.0,not_popped,0.5,0.0,120.0,0.0,,
109,0.2,3.0,2.0,0.0,16.0,12.0,0.0009170555147193227,1999.521133835248,0.0,,4,2000.071133835248,1999.1279979542182,0.0,0.39313588102982067,2.0700000000000003,2.0,,4.0,0.0,not_popped,0.7,0.0,125.0,0.0,,
110,0.11,3.0,2.0,0.0,16.0,12.0,0.0005577138221042333,2001.8819785569704,0.0,,4,2002.4319785569703,2001.4451041148918,0.0,0.4368744420785333,2.0700000000000003,2.0,,5.0,0.0,not_popped,0.8099999999999999,0.0,130.0,0.0,,
111,0.16,3.0,2.0,0.0,16.0,12.0,0.0028326210222076043,2004.029757758816,0.0,,4,2004.579757758816,2003.6456342339318,0.0,0.38412352488421675,2.0700000000000003,2.0,,6.0,0.0,not_popped,0.97,0.0,135.0,0.0,,
112,0.13,3.0,2.0,0.0,16.0,12.0,0.000488726866478828,2006.3151784047002,0.0,,4,2006.8651784047001,2005.9543552933496,0.0,0.36082311135055534,2.0700000000000003,2.0,,7.0,0.0,not_popped,1.1,0.0,140.0,0.0,,
113,0.19,3.0,2.0,0.0,16.0,12.0,0.00046947147131959355,2008.777009362832,0.0,,4,2009.3270093628319,2008.3381452427536,0.0,0.4388641200782786,2.0700000000000003,2.0,,8.0,0.0,not_popped,1.29,0.0,145.0,0.0,,
114,0.21,3.0,2.0,0.0,16.0,12.0,0.0010133324910839292,2011.0525931337754,0.0,,4,2012.8025931337754,2010.5552757289483,0.0,0.4973174048270721,2.0600000000000005,2.0,,9.0,0.0,popped,0.0,0.0,145.0,0.0,,
115,0.06,4.0,2.0,8.0,16.0,4.0,0.0005356878664315445,2015.240186397767,4.0,,4,2015.790186397767,2014.956104348173,0.0,0.28408204959396244,2.0600000000000005,0.0,,0.0,0.0,not_popped,0.06,0.0,105.0,0.0,,
116,0.07,4.0,2.0,8.0,16.0,4.0,0.0005106142941713188,2017.1628732152742,4.0,,4,2017.7128732152742,2016.9315480395792,0.0,0.23132517569501942,2.0600000000000005,0.0,,1.0,0.0,not_popped,0.13,0.0,110.0,0.0,,
117,0.12,4.0,2.0,8.0,16.0,4.0,0.0005354108104711486,2019.3985458159273,4.0,,4,2019.9485458159272,2019.056991814102,0.0,0.3415540018252159,2.0600000000000005,0.0,,2.0,0.0,not_popped,0.25,0.0,115.0,0.0,,
118,0.16,4.0,2.0,8.0,16.0,4.0,0.0005034108369272872,2021.571627853885,4.0,,4,2022.121627853885,2021.2407556094151,0.0,0.3308722444699015,2.0600000000000005,0.0,,3.0,0.0,not_popped,0.41000000000000003,0.0,120.0,0.0,,
119,0.22,4.0,2.0,8.0,16.0,4.0,0.0005161554150845404,2023.894990494207,4.0,,4,2024.4449904942069,2023.4911849077598,0.0,0.4038055864471062,2.0600000000000005,0.0,,4.0,0.0,not_popped,0.63,0.0,125.0,0.0,,
